"x","y","score","nose_x","nose_y","left_eye_x","left_eye_y","right_eye_x","right_eye_y","left_ear_x","left_ear_y","right_ear_x","right_ear_y","left_shoulder_x","left_shoulder_y","right_shoulder_x","right_shoulder_y","left_elbow_x","left_elbow_y","right_elbow_x","right_elbow_y","left_wrist_x","left_wrist_y","right_wrist_x","right_wrist_y","left_hip_x","left_hip_y","right_hip_x","right_hip_y","left_knee_x","left_knee_y","right_knee_x","right_knee_y","left_ankle_x","left_ankle_y","right_ankle_x","right_ankle_y"
"440","50","0.5834704220294953","371.34697421630574","160.1172095482587","374.44615772338267","151.99943891983082","359.89189261420444","150.36274334268222","363.88969395097","168.67128227572363","331.93144886108263","167.58658028276503","378.7768871857094","230.76449741396476","322.7810639213994","200.40800347373712","391.3201492544906","307.49103314165274","419.3804751472302","160.87100589764066","414.12567132253946","379.1023331175139","469.55601182598275","124.96717594454773","386.71859911378135","391.37223937518746","336.7909563224074","387.48943267379633","397.4514198246081","484.7409321866281","323.0018345939693","483.5944099682562","413.4130237401868","410.18298855102347","332.1243917945605","458.14756420734295"
"480","50","0.6111669561692646","373.1086790844164","159.99522341919908","375.28448447587465","152.11236374696708","362.0785301284336","150.31952931223472","362.7613919132633","168.90800177093945","333.6707053391569","167.92277824554844","376.2439079025819","230.69135769770355","329.9813011964006","198.72205765831217","393.22468683135895","306.4732059350612","420.501486128489","164.04926633855246","414.0255655660934","375.6191012841925","468.2244892889379","131.52920087984984","386.8905241395331","387.6913764188271","340.8695280822016","385.4130154385577","395.94195174437573","484.5328384724663","327.6770478660982","482.8840806350286","413.2908537864562","408.94488688949633","339.06672778182104","456.3610958855601"
"520","50","0.5809739700385502","378.110287664108","167.072886913908","378.5602597698096","159.38696353955248","365.7508808420887","156.94920166591746","369.20573989741507","172.6399468964764","337.00366722009153","172.15657456487264","377.8075170739615","236.7752352075943","331.49275514033457","200.93363903312607","397.2605508456963","305.99928967577176","422.981837785608","164.57761529366283","415.7268004292507","374.75524538403386","468.8947699717079","133.99385626465624","387.17855356022255","389.9812703821894","343.3138753072718","385.8758810186165","393.0090602956545","484.5188742647209","336.40501170554626","483.15206669986213","414.9668455431613","407.98794584603553","346.06667744906906","455.3802524372545"
"560","50","0.5799468627997807","378.1977522549246","168.9405831057468","380.18012896513267","161.96159653128439","366.086728254922","158.14336620188726","372.82557833091937","176.19888658898356","339.76937547796666","174.68560156217268","377.48376820478853","240.98396158740184","338.0824727118279","201.8086354233738","397.12136364101667","307.5499891413302","428.0157278754132","168.3336600752843","416.52406112720087","373.8845469156339","469.56808687005434","134.84308741976855","386.22627911248543","390.11259712178696","344.434979187146","385.600479857208","388.97439933460936","483.62505604583964","336.54373300954086","482.3483708368697","415.95784068410916","407.6320912971785","346.2850712007306","454.9025797666376"
"600","50","0.5277157892783483","383.6038052965987","171.38606027229605","383.6390322936751","164.54243748109494","369.56475528565585","160.7047912905485","371.67365100743353","177.0822409909882","344.6730623577213","173.34528697305018","376.7344544969604","237.9579277288421","344.8164321958341","200.69067283494462","396.4481172932494","307.77075611379297","432.88598036475724","169.58705853543833","416.19464070552146","374.83829057961066","473.5965005030822","139.53195837677998","383.22140280755866","386.75083602674505","349.4048719564496","383.93310202168936","387.47727200219293","483.03736967182084","345.56726123134416","482.1430079138803","416.1188332067124","408.00608676947934","9.216852059603013","15.633028486659715"
"640","50","0.5189075650913375","383.4414473101381","170.90126866546328","384.4600818229694","164.62960910177623","370.7450760195192","161.73469285486433","373.63674360144955","177.78444184873229","344.55283189434954","173.77282724579933","376.4669865279194","236.93703272859392","347.7712079358998","199.9391469638012","397.80569027482784","307.3034806322261","435.39577600571994","168.03032281914818","417.3550653396746","374.52738019780423","479.03917253992205","139.42321260679049","381.36923415692206","385.68509483967784","349.29374889743667","381.88675268036855","386.09679719084505","480.00579053019345","349.246433589345","480.70661868563286","417.4830518731608","406.14764344810027","411.4887037268906","399.1223151085963"
"680","50","0.5562664385025318","383.8679933873235","170.18042272085515","385.22096990545634","163.72280547263549","371.8055514835981","161.8432604208369","373.4480584320963","177.5661997408628","345.7381401795217","173.60402259779937","377.9615286884866","237.6102357338868","347.3664773034779","200.1823735792327","399.07887386224303","308.1222453427326","434.53046634477806","168.23153087730978","417.27320346090085","376.1280509329248","480.70984680694255","138.5717273523593","386.86759725234026","386.3335886678211","347.72086514602285","382.3789654992857","387.2924669021486","480.78515791607396","350.76700289304176","481.24799250166683","417.745767999548","408.84811437868467","352.653972171124","454.64607911115866"
"720","50","0.5059116919835408","383.05604510305386","170.78136211970732","385.86828134399605","164.03287733919316","372.01446082853175","161.58804794408408","375.59167943040956","177.35710210739583","346.16134942906626","173.1518152151146","378.80923066115537","236.54757255159123","347.022764429695","201.14405142921274","398.85896850272366","307.52800773458137","434.6860970652983","168.09056507443822","416.4715360283389","374.91779179169583","479.6588546922869","139.07513892797178","386.00547829938546","383.74010778471285","347.6446120871762","377.2668410967908","386.81586553234524","480.1890027283789","361.2273250029306","479.8407779236408","417.1420392589971","408.3133191037817","354.1267990323067","455.8727992530698"
"760","50","0.5290343931743077","382.6163400677106","171.71914895302626","385.46945399172245","164.4386918488759","370.6623230035351","161.94958712004623","377.82181109305986","177.8965469156854","345.6504294879625","173.57115011756508","377.62974484775185","233.5849079415606","347.1481662389564","203.20777857264108","398.4510571696231","307.1910254476236","434.30251820579963","168.4231224614718","414.1252433648662","372.7132554284524","475.7628764456347","138.4357490914654","383.6077562322186","382.9824047522322","349.4863081319499","377.3355390861781","386.8245081886027","478.9975995329505","364.5745137938187","478.82362191361864","413.3008389999457","407.0864497012895","355.9480375733222","454.5038066127818"
"800","50","0.554786534181663","381.49403352135664","172.6590503668141","385.0652943121845","165.49322326892118","369.0321736931927","161.86875232333253","378.2015056483579","179.61483257074522","345.244518509612","174.84767931393833","378.48576387466204","237.35321479385996","348.9602715699365","203.8133697182789","398.0750108441751","307.77806626844233","433.3639239644434","167.03673405217907","412.6747501661697","373.10678891800774","469.64479394375985","135.66939971082556","382.158277833472","385.1347603287041","352.68395045152454","382.3089195173112","387.37485284815114","478.3405878963474","366.93946120915837","479.3484832020739","412.07873287285116","407.0766870622214","357.9586695638485","455.6454233789093"
